codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
BIPC;BKR CORPACIF;BIPC39;;;;
BIPZ;;BIPZ39;;;;
BITB;;BITB39;;;;
BITO;CORE SP TOTA;BITO39;;;;
BIUS;BKR CORE TOT;BIUS39;;;;
BIVB;CORE SP 500;BIVB39;;;;
BIVE;;BIVE39;;;;
BIVW;SP500GROWTH;BIVW39;;;;
BIWF;RUSSEL1000GR;BIWF39;;;;
BIWM;RUSSELL 2000;BIWM39;;;;
BIXC;BKR GLB ENER;BIXC39;;;;
BIXG;BKR GL FIN;BIXG39;;;;
BIXJ;;BIXJ39;;;;
BIXN;GLOBAL TECH;BIXN39;;;;
BIXU;BKR TI STOCK;BIXU39;;;;
BIYC;BKR CODISCRT;BIYC39;;;;
BIYE;BKR US ENER;BIYE39;;;;
BIYF;US FINANCIAL;BIYF39;;;;
BIYG;USFINANCSERV;BIYG39;;;;
BIYJ;BKR US INDLS;BIYJ39;;;;
BIYK;BKR COSTAPLE;BIYK39;;;;
BIYM;BKR BASICMAT;BIYM39;;;;
BIYP;BKR TRANSPTN;BIYP39;;;;
BIYT;BKR 7 10 YRT;BIYT39;;;;
BIYW;US TECHNOLOG;BIYW39;;;;
BIZC;BIZCAPITAL;;27.757.072/0001-34;;;
BJAP;;BJAP39;;;;
BJPI;;BJPI39;;;;
BJQU;JP QLT FACT;BJQU39;;;;
BKBA;KR MSCI CH50;BKBA39;;;;
BKCH;GX BLOCKCHAI;BKCH39;;;;
BKEB;KEBBC;;02.318.507/0001-13;;;
BKEU;;;;;;
BKFE;BROOKFIELDEN;;02.808.298/0001-96;;;
BKRC;;;;;;
BKSA;BKR SAUDARAB;BKSA39;;;;
BKWB;KR CSI CHINA;BKWB39;;;;
BKXI;BKR GB STAMP;BKXI39;;;;
BKYY;;BKYY39;;;;
BLAU;;BLAU3;19/04/2021;58.430.828/0001-60;A Companhia dedica-se à fabricação. comercialização. pesquisa e desenvolvimento de medicamentos de alta complexidade.;ITAU CORRETORA ACOES
BLBT;GX LITHIUM B;BLBT39;;;;
BLIM;;;;;;
BLMN;BELOMONTE;;20.223.016/0001-70;;;
BLOC;BLOCK FINANC;;35.618.250/0001-74;;;
BLPA;GX MLP ETF;BLPA39;;;;
BLPE;;;;;;
BLPX;GX MLP EN IN;BLPX39;;;;
BLQD;BKR IBOX IGC;BLQD39;;;;
BLTP;PMCO 15 YRTP;BLTP39;;;;
BLTZ;BOLTZMANN EM;;41.572.391/0001-04;;;
BLUZ;XTRACKERENGY;BLUZ39;;;;
BMAX;MAXINVESTBM;;80.271.455/0001-80;;;
BMBB;BKR MBS;BMBB39;;;;
BMBO;;;;;;
BMCE;JP BTB RETUR;BMCE39;;;;
BMEB;;BMEB4;20/07/1977;17.184.037/0001-10;Finanças. Banco Múltiplo;BANCO MERCANTIL DO BRASIL S.A.
BMEP;BMSA;;12.051.345/0001-53;;;
BMFE;PIMCO MF EME;BMFE39;;;;
BMGB;BANCO BMG;BMGB4;28/10/2019;61.186.680/0001-74;Prática de todas as operações ativas. passivas e acessórias permitidas nas normas legais e regulamentares para o funcionamento dos bancos com carteira comercial. de investimento. inclusive câmbio;ITAU CORRETORA ACOES
BMHY;BMCHYUNDAI;;14.168.536/0001-25;;;
BMIL;GX MILLECONM;BMIL39;;;;
BMIN;;BMIN4;06/05/1983;34.169.557/0001-72;Investimentos / Financiamentos;BANCO MERCANTIL DO BRASIL S.A.
BMKS;;BMKS3;28/11/1973;56.992.423/0001-90;Fabricação e Comercialização de Bicicletas;BRADESCO
BMLI;MERRILLLYNCH;;62.073.200/0001-21;;;
BMNS;BAUMINASLOG;;14.429.795/0001-62;;;
BMOB;BEMOBI TECH;BMOB3;10/02/2021;09.042.817/0001-05;Desenvolvimento e licenciamento de programas de computador não-customizáveis;ITAU CORRETORA ACOES
BMOL;BEMOL S.A.;;04.565.289/0001-47;;;
BMOM;JP US MO FAC;BMOM39;;;;
BMPS;;;;;;
BMRE;BKR MORTGAGE;BMRE39;;;;
BMTN;ORIGINALBM;;92.894.922/0001-08;;;
BMTU;MSCIUSAMOM F;BMTU39;;;;
BMXM;;;33.923.798/0001-00;;;
BMYE;BMYE PARTICI;;40.361.425/0001-40;;;
BNAR;LANACIONARGE;;33.042.151/0001-61;;;
BNBR;NORD BRASIL;BNBR3;02/05/1968;07.237.373/0001-20;Banco Múltiplo com Carteira Comercial;BANCO DO NORDESTE DO BRASIL S.A.
BNDA;MSCI INDIA;BNDA39;;;;
BNDC;BANDADECOURO;;19.905.727/0001-46;;;
BNDP;BNDESPAR;;00.383.281/0001-09;;Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos;BNDES PARTICIPACOES S.A. - BNDESPAR
BNMS;MELLONDTVM;;02.201.501/0001-61;;;
BNOM;BONNOMESOLAR;;42.171.206/0001-24;;;
BNRJ;ITAUCONSBM;;33.885.724/0001-19;;;
BNSC;BONSUCESSOCO;;71.371.686/0001-75;;;
BNYM;BNYMELLONBC;;42.272.526/0001-70;;;
BOBR;;BOBR4;09/10/1984;50.564.053/0001-03;1080;BRADESCO
BODY;;;07.737.623/0001-90;;;
BOEF;BKR SP100;BOEF39;;;;
BOLD;;;;;;
BORG;BORGATO;;57.213.191/0001-97;;;
BOTZ;GX ROBOTC AI;BOTZ39;;;;
BPAC;BTGP BANCO;BPAC11;26/04/2012;30.306.294/0001-45;A Companhia e suas controladas formam um grupo de prestação de serviços financeiros sediado no Brasil. atuando como banco múltiplo. com carteira de investimento. nos termos da legislação aplicável.;BRADESCO
BPAN;BANCO PAN;BPAN4;19/11/2007;59.285.411/0001-13;Banco múltiplo com carteira comercial;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
BPAR;BANPARA;BPAR3;29/04/1983;04.913.711/0001-08;O Banpará. pessoa jurídica de direito privado. constituída como S.A. aberta. de economia mista. estruturada como banco múltiplo. Atua na execução de políticas públicas de fomento à economia do Estado.;BRADESCO
BPCH;BRASIL PCH;;07.314.233/0001-08;;;
BPEC;OMNIBM;;60.850.229/0001-47;;;
BPEM;JP DV US EME;BPEM39;;;;
BPES;;;;;;
BPFR;GX USPREFERR;BPFR39;;;;
BPFV;GX VAR RTPRF;BPFV39;;;;
BPGA;;;;;;
BPGC;;;;;;
BPIC;BKR GBMM PRD;BPIC39;;;;
BPLR;BRASILPLURAL;;45.246.410/0001-55;;;
BPME;JP DV USMID;BPME39;;;;
BPNB;CREFISABC;;61.033.106/0001-86;;;
BPRS;PREFERINCOME;;;;Não Classificados / Não Classificado / Não Classificados;
BPSA;PSAFINANCEBM;;03.502.961/0001-92;;;
BPSE;BRASILPREV S;;27.665.207/0001-31;;;
BPUS;JP DIVRET US;BPUS39;;;;
BPVE;GX INFRA DEV;BPVE39;;;;
BQCL;FT NSQ GREEN;BQCL39;;;;
BQLT;;BQLT39;;;;
BQQW;;BQQW39;;;;
BQTC;FT NASD100TC;BQTC39;;;;
BQUA;MSCIUSQUAL F;BQUA39;;;;
BQYL;GX NASDAQ100;BQYL39;;;;
BRAP;;BRAP4;10/08/2000;03.847.461/0001-92;Participação como sócia ou acionista de outras Sociedades.;BRADESCO
BRAR;;;;;;
BRAV;BRAVA;BRAV3;12/11/2020;12.091.809/0001-55;Exploração. produção. refino e comercialização de petróleo. gás natural e derivados. incluindo. tratamento. processamento. estocagem. liquefação e regaseificação de gás natural.;ITAU CORRETORA ACOES
BRBC;BRBCFI;;33.136.888/0001-43;;;
BRBI;BR PARTNERS;BRBI11;21/06/2021;10.739.356/0001-03;Participação em outras sociedades. nacionais ou estrangeiras. na qualidade de sócia. acionista ou quotista. e a administração de bens próprios.;ITAU CORRETORA ACOES
BRCA;BARCAS;;33.644.865/0001-40;;;
BRCU;CURA;;50.252.998/0001-90;;;
BRDO;BRADOSA;;03.307.926/0001-12;;;
BRED;RODOBENSBM;;33.603.457/0001-40;;;
BREG;BARAUNASII;;19.905.679/0001-96;;;
BREL;BRITANIA;;76.492.701/0001-57;;;
BRER;;;;;;
BREZ;BKR RESMULTS;BREZ39;;;;
BRFA;BRAINFARMA;;05.161.069/0001-10;;;
BRFS;BRF SA;BRFS3;30/06/1997;01.838.723/0001-27;Holding Operacional;ITAU CORRETORA ACOES
BRGM;BERGAMOCOMER;;32.988.138/0001-37;;;
BRGU;BARIGUICH;;14.511.781/0001-93;;;
BRIT;BRISANET;BRIT3;29/07/2021;19.796.586/0001-70;Participação em sociedades cujas atividades estejam relacionadas a serviços de telecomunicações e tecnologia;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
BRKB;;;11.609.081/0001-48;;;
BRKC;;;31.444.659/0001-60;;;
BRKL;BRKCFI;;12.865.507/0001-97;;;
BRKM;BRASKEM;BRKM5;02/09/2002;42.150.391/0001-70;"Produção de produtos químicos. utilidades. energia elétrica e outros;prestação de serviços industriais;participação em outras sociedades;locação de bens; representação/consignação de produtos químicos";ITAU CORRETORA ACOES
BRKN;BRKCENTRONOR;;14.435.130/0001-61;;;
BRKP;BRK AMBI PAR;;24.396.489/0001-20;Explorar e participar de sociades que explorem serviços públicos de abastecimento de água potável e esgotamento sanitário.;Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
BRKS;;;;;;
BRKU;;;;;;
BRLS;BBAM;;31.546.476/0001-56;;;
BRML;BR MALLS PAR;;06.977.745/0001-91;Holding;Financeiro / Exploração de Imóveis / Exploração de Imóveis;ITAU CORRETORA ACOES
BRMU;BRESCO MURIC;;24.787.836/0001-46;;;
BRND;BRENNAND;;10.532.985/0001-50;;;
BRNX;BRINOX;;92.038.108/0001-91;;;
BROB;FT NSDQ ROBT;BROB39;;;;
BRPT;BRPARTNERSBI;;13.220.493/0001-17;;;
BRQB;;BRQB3;13/01/2016;36.542.025/0001-64;Prestação de Serviços de Transformação Digital com propósito de acelerar negócios através da inteligência e tecnologia da informação (TI);BRADESCO
BRSH;BRASHOPSA;;03.262.205/0001-33;;;
BRSR;BANRISUL;BRSR5;16/09/1931;92.702.067/0001-96;Banco Múltiplo atuante nas carteiras comercial. crédito. financiamento e investimento. crédito imobiliário. desenvolvimento e arrendamento mercantil e de investimentos.;BANRISUL
BRST;;;04.601.397/0001-28;;;
BRTE;BRILHANTEENE;;10.552.848/0001-87;;;
BRVB;BRAVOBEEFSA;;09.160.157/0001-59;;;
BRVI;BRVIAS;;07.911.471/0001-09;;;
BSAF;SAFRABM;;58.160.789/0001-28;;;
BSBE;BSBENERGETIC;;03.820.456/0001-96;Geração. comercialização e distribuição de energia elétrica. bem como participação e investimentos em outras sociedades com atividades semelhantes ao seu objeto social.;Utilidade Pública / Energia Elétrica / Energia Elétrica;OLIVEIRA TRUST
BSCL;;;;;;
BSCS;BRAZILIAN SC;BSCS-CRIT2B0;;03.767.538/0001-14;;BRAZILIAN SECURITIES CIA SECURITIZACAO
BSCZ;BKR MS EAFE;BSCZ39;;;;
BSDG;BKR GB SDVGO;BSDG39;;;;
BSDV;;BSDV39;;;;
BSDY;FT SMID CAP;BSDY39;;;;
BSEN;;;;;;
BSGO;BKR 0 3M TRS;BSGO39;;;;
BSHV;BKR SHORT TR;BSHV39;;;;
BSHY;;BSHY39;;;;
BSIL;GX SILVER MN;BSIL39;;;;
BSIZ;MSCIUSASIZF;BSIZ39;;;;
BSLI;BRB BANCO;BSLI4;24/09/1993;00.000.208/0001-00;O BRB é uma instituição financeira de economia mista. controlada pelo Governo do Distrito Federal. organizada sob a forma de banco múltiplo.;BRADESCO
BSLV;SILVER TRUST;BSLV39;;;;
BSME;BSME;;34.078.154/0001-18;;;
BSNS;GX INTERTHGS;BSNS39;;;;
BSOC;GX SOCIAL MD;BSOC39;;;;
BSOX;BKR SEMICOND;BSOX39;;;;
BSPC;;;;;;
BSRE;GX SUDIVREIT;BSRE39;;;;
BSTD;INBURSABM;;04.866.275/0001-63;;;
BSTI;BKR STIP;BSTI39;;;;
BSTP;PMCO 1T5 YRT;BSTP39;;;;
BSUC;BKR ESG AWCP;BSUC39;;;;
BSUS;ESGMSCIUSA L;BSUS39;;;;
BTBP;;;;;;
BTCL;;;;;;
BTEL;;;02.041.460/0001-93;O desenvolvimento. a construção e a operação de redes de telecomunicações e o fornecimento de serviços de telecomunicações e de valor adicionado.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
BTEN;;;;;;
BTFL;BKR FLOT RTE;BTFL39;;;;
BTGH;BTGHOLDING;;10.923.227/0001-62;;;
BTIP;BKR TIP;BTIP39;;;;
BTLH;BKR 1020Y TB;BTLH39;;;;
BTLM;BARTOLOMEU;;26.469.628/0001-24;;;
BTLT;BKR 20YR TRS;BTLT39;;;;
BTMB;MUFGBM;;60.498.557/0001-26;;;
BTNR;BREITENERHOL;;40.659.026/0001-60;;;
BTOG;DSBSERVICOS;;17.200.699/0001-36;;;
BTOY;BCOTOYOTABM;;03.215.790/0001-10;;;
BTWO;XTRACKER2000;BTWO39;;;;
BUFF;XTRACKERWRVL;BUFF39;;;;
BURA;GX URANIUM;BURA39;;;;
BURT;;BURT39;;;;
BUSA;BKR MS USA S;BUSA39;;;;
BUSF;WT FLOATRATE;BUSF39;;;;
BUSM;MSCI US MVOL;BUSM39;;;;
BUSR;;BUSR39;;;;
BUTL;BKR US UTILT;BUTL39;;;;
BUZZ;VE BUZZ ETF;BUZZ39;;;;
BVEG;BKR GBL AGRO;BVEG39;;;;
BVGE;;;;;;
BVKW;VOLKSWAGENBM;;59.109.165/0001-49;;;
BVLF;JP US VL FAC;BVLF39;;;;
BVLU;;BVLU39;;;;
BVLV;;;58.017.179/0001-70;;;
BVPL;VIPAL;;87.870.952/0001-44;A Companhia dedica-se a fabricação. reforma e reparo de pneus.;Não Classificados / Não Classificado / Não Classificados;BRADESCO
BWCL;WT CLOU COMP;BWCL39;;;;
BWOR;XTRACKERWRLD;BWOR39;;;;
BXTC;EXPON TECHNL;BXTC39;;;;
BZEP;;;;;;
BZRO;PCOM 25 YRZC;BZRO39;;;;
BZRS;BRAZIL REALT;;07.119.838/0001-48;"(i) Aquisição e securitização de créditos decorrentes de operações de financiamento imobiliário; e (ii) Emissão e colocação de Certificados de Recebíveis Imobiliários no mercado financeiro.";Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;ITAU CORRETORA ACOES
C6HG;C6HOLDING SA;;29.694.063/0001-77;;;
CAAT;;;;;;
CABA;CABAGUASAGRE;;15.401.489/0001-80;;;
CABC;AGUASCUIABA;;14.995.581/0001-53;;;
CABP;PARANAGUA;;01.691.945/0001-60;;;
CADR;CALDEIRAO;;17.200.920/0001-56;;;
CAEC;CAGECE;;07.040.108/0001-57;Captação. tratamento e distribuição de água;Não Classificados / Não Classificado / Não Classificados;EMPRESA
CAEL;;;;;;
CAEP;ABRILEDUCACA;;03.824.725/0001-92;;;
CAES;CIASERVICOS;;07.878.951/0001-07;;;
CAGE;;;;;;
CAIF;FLORIANOPOLI;;27.844.178/0001-75;;;
CAIT;CAIUAENERGIA;;14.832.534/0001-99;;;
CAIV;CAINVESTMENT;;28.132.263/0001-73;;;
CAJS;JUTURNAÍBASA;;02.013.199/0001-18;;;
CALI;CONST A LIND;CALI3;20/07/1977;61.022.042/0001-18;;ITAU CORRETORA ACOES
CAMB;CAMBUCI;CAMB3;05/02/1985;61.088.894/0001-08;;ITAU CORRETORA ACOES
CAML;CAMIL;CAML3;28/09/2017;64.904.295/0001-03;Industrialização e comercialização de grãos. pescados. açúcar. massas. biscoitos e café.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CANT;AGPART;;04.031.960/0001-70;;;
CAPP;;;;;;
CAPV;;;;;;
CARC;;;;;;
CARU;CARUANACFI;;09.313.766/0001-09;;;
CASC;;;;;;
CASH;MELIUZ;CASH3;05/11/2020;14.110.585/0001-07;Portal virtual para veiculação e divulgação de marcas. produtos e outros materiais. locação de espaço publicitário. intermediação de negócios. licenciamento de softwares e participação em sociedades.;ITAU CORRETORA ACOES
CASN;CASAN;CASN4;12/06/1998;82.508.433/0001-17;Atuar como instituição integrante do sistema de saneamento básico e de saúde do Estado de Santa Catarina através dos serviços de captação. tratamento e distribuição de água e tratamento de esgoto.;ITAUBANCO - ACOES
CATA;IND CATAGUAS;CATA4;12/04/2000;19.526.748/0001-50;indústria têxtil e a comercialização de fios e tecidos em geral e produtos intermediários têxteis.;CIA INDUSTRIAL CATAGUASES
CAWP;;;;;;
CBAV;CBA;CBAV3;15/07/2021;61.409.892/0001-73;Extração de minério de alumínio. serviços de usinagem. caldeira e montagem de maquinário.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CBBP;PREMIUM;;09.325.874/0001-93;;;
CBCF;;;;;;
CBCS;CONCESSBCENT;;42.206.269/0001-79;;;
CBDB;;;;;;
CBEE;AMPLA ENERG;CBEE3;15/08/1969;33.050.071/0001-58;Distribuição de energia elétrica;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CBHI;;;;;;
CBHN;BAHIANORTE;;12.160.715/0001-90;;;
CBLT;ALVOAR LACT;;10.483.444/0001-89;;;
CBOS;CBOSERVMARIT;;08.795.463/0001-07;;;
CBPF;;;;;;
CBRL;;;;;;
CBSC;CIBRASEC;;02.105.040/0001-23;Consiste em um processo financeiro estruturado através do qual créditos são adquiridos. permitindo a emissão de valores mobiliários (CRI ou CRA) a serem negociados no mercado financeiro e de capitais.;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;CIBRASEC - CIA BRAS DE SECURITIZACAO
CBSS;CONCESSBLOCO;;42.130.537/0001-16;;;
CBVP;CIABRAVIDROS;;10.858.291/0001-07;;;
CBVV;;;;;;
CCAB;CCAB;;08.938.255/0001-01;;;
CCAI;;;;;;
CCCC;CCCAMARGOCOR;;61.522.512/0001-02;;;
CCCP;CAMCORPART;;11.196.609/0001-02;;;
CCDB;BBNEGBM;;10.264.663/0001-77;;;
CCGR;;;;;;
CCHO;CAMARGO;;01.098.905/0001-09;;;
CCHR;;;;;;
CCIA;;;;;;
CCIF;CAMARGOINFRA;;02.372.232/0001-04;;;
CCIM;CC DES IMOB;;67.203.208/0001-89;;;
CCLS;CICLUS AMBIE;;10.319.900/0001-50;"Gestão de resíduos sólidos; captação. tratamento e comercialização de biogás; produção e comercialização de créditos de carbono; serviço de tratamento de chorume; operação de aterro sanitário etc.";Utilidade Pública / Água e Saneamento / Água e Saneamento;EMPRESA
CCNS;CONASA COMPA;;08.837.556/0001-49;;;
CCOA;;;;;;
CCPM;MARFIM EMP;;09.597.890/0001-35;;;
CCRO;CCR SA;CCRO3;01/02/2002;02.846.056/0001-97;Prestadora de serviços públicos por meio de concessões rodoviária. metroviária e aeroportuária. além de prestação de serviços de meio de pagamentos e outros.;ITAU CORRETORA ACOES
CCSP;;;;;;
CCTC;;;;;;
CDAI;CARANDAIPART;;31.435.086/0001-09;;;
CDAR;;;;;;
CDDN;CIDADANIA;;23.643.683/0001-09;;;
CDER;CERENERGIAS;;15.721.727/0001-35;;;
CDFS;;;;;;
CDGS;COPAGAZ DIST;;03.237.583/0001-67;;;
CDMG;CODEMIG;;19.791.581/0001-55;;;
CDTA;CREDITACFI;;12.599.971/0001-89;;;
CEAB;CEA MODAS;CEAB3;28/10/2019;45.242.914/0001-05;Atuação no varejo nos setores de vestuário. acessórios. calçados. higiene. eletrônicos. dentre outros.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CEAC;ENERGISAACRE;;04.065.033/0001-70;;;
CEAD;CEAII;;24.274.124/0001-23;;;
CEAL;;;;;;
CEAP;;;;;;
CEBD;NEOENERGIADI;;07.522.669/0001-92;;;
CEBO;;;;;;
CEBR;CEB;CEBR5;10/08/1994;00.070.698/0001-11;HOLDING - GERAÇÃO DE ENERGIA ELÉTRICA E ILUMINAÇÃO PÚBLICA;BRADESCO
CEBS;;;;;;
CECO;ECO135;;30.265.100/0001-00;;;
CEDO;CEDRO;CEDO4;14/05/1981;17.245.234/0001-00;Indústria têxtil;BRADESCO
CEEB;;CEEB5;23/05/1995;15.139.629/0001-94;Serviço Público de Distribuição de Energia Elétrica;ITAU CORRETORA ACOES
CEED;CEEE-D;CEED4;06/09/2010;08.467.115/0001-00;Prestação de serviços de natureza pública ou privada. no setor de distribuição de energia elétrica.;ITAU CORRETORA ACOES
CEFI;CEDULA;;33.132.044/0001-24;;;
CEFO;;;;;;
CEGR;CEG;CEGR3;12/07/2000;33.938.119/0001-69;Distribuição de gás natural na região metropolitana do Estado do Rio de Janeiro.;ITAU CORRETORA ACOES
CEII;TERRASANTAII;;24.894.829/0001-43;;;
CEIV;CEAIVCENTRAI;;38.249.067/0001-37;;;
CEJA;CEJA;;03.581.989/0001-62;;;
CEMS;SANEAME 100;;35.662.569/0001-05;;;
CENB;CENCOSUD BR;;39.346.861/0350-38;"Comércio (Atacado e Varejo); atividades de panificação. correspondente bancário. estacionamento para veículos. importação e exportação; participação no capital de outras sociedades; dentre outras.";Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
CENF;ENERGISA NF;;33.249.046/0001-06;;;
CENM;;;;;;
CEOL;CAETITEPART;;09.341.337/0001-37;;;
CEOS;CEOSADM;;23.698.040/0001-54;;;
CEPE;CELPE;;10.835.932/0001-08;Estudar. projetar. construir e explorar os sistemas de distribuição e comercialização aos consumidores finais de energia elétrica. bem como a geraçãa de energia elétrica em sistema isolado.;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
CEPR;EPESA;;06.212.748/0001-34;;;
CERN;CERAN;;04.237.975/0001-99;;;
CERO;;;05.914.650/0001-66;;;
CERR;CERRADINHO;;08.322.396/0001-03;Exploração de agricultada em geral. especialmente o plantio de cana-de-açúcar. a fabricação e comércio de açúcar. etanol e seus derivados. de levedura seca e melaço para ração animal. entre outros.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
CESE;CELSESERGIPE;;23.758.522/0001-52;;;
CESO;;;;;;
CESP;CESP;;60.933.603/0001-78;Geração e Comercialização de Energia Elétrica;Não Classificados / Não Classificado / Não Classificados;ITAUBANCO - ACOES
CESU;;;;;;
CETS;E TERRASANTA;;24.895.239/0001-35;;;
CFBL;;;;;;
CFLO;LUZDOOESTE;;77.882.504/0001-07;;;
CFMS;CAMPOFORMOSO;;17.613.280/0001-06;;;
CFRI;COMFRIO;;01.413.969/0001-57;;;
CFRT;;;;;;
CFVB;;;;;;
CFVT;COMPANHIASEC;;40.173.398/0001-82;;;
CGAS;COMGAS;CGAS5;11/09/1997;61.856.571/0001-17;Setor de atividade: Utilidade Pública: Distribuição de gás natural canalizado.;ITAUBANCO - ACOES
CGBP;CONTOUR;;07.802.794/0001-56;;Utilidade Pública / Energia Elétrica / Energia Elétrica;OLIVEIRA TRUST
CGCE;CANTAGERACAO;;34.714.322/0001-14;;;
CGDE;CGD EMPREEND;;05.368.250/0001-00;;;
CGEE;;;39.881.421/0001-04;Geração de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
CGEN;;;;;;
CGEP;COPACABANA;;23.318.135/0001-03;;;
CGOS;EQTL GOIAS;;01.543.032/0001-04;;Não Classificados / Não Classificados / Não Classificado;EMPRESA
CGRA;GRAZZIOTIN;CGRA4;04/06/1979;92.012.467/0001-70;Comércio Varejista de Vesturio e Bazar.;ITAU CORRETORA ACOES
CGRS;;;;;;
CHBR;CHBCH;;10.694.628/0001-98;;;
CHDD;;;;;;
CHEP;;;;;;
CHMB;;;;;;
CHPA;CHAPADAI;;20.512.213/0001-00;;;
CHSF;CHESF;;33.541.368/0001-16;Produção e Transmissão de Energia Elétrica;Não Classificados / Não Classificado / Não Classificados;EMPRESA
CHTE;CHIMARRAOENE;;32.398.119/0001-50;;;
CIBP;CIBE;;09.376.471/0001-73;;;
CICC;;;;;;
CIEI;CI 004 EMPR;;33.951.663/0001-40;;;
CIEL;CIELO;;01.027.058/0001-91;Empresa prestadora de serviços de adquirência e meios de pagamento.;Financeiro / Serviços Financeiros Diversos / Serviços Financeiros Diversos;BRADESCO
CIH2;;;;;;
CIHI;;;;;;
CIIH;CIRANDAIIHOL;;40.689.824/0001-35;;;
CIMA;CIMAR;;15.129.010/0001-07;;;
CIME;CIMED INDUST;;02.814.497/0001-07;;;
CIMO;;;;;;
CINL;CINEL;;12.105.844/0001-86;;;
CIPS;CIPASA;;05.262.743/0001-53;;;
CITI;CITIBM;;33.479.023/0001-80;;;
CJEN;TESC TERM SC;;01.115.535/0001-70;;;
CLAG;COLOMBO AGRO;;44.330.975/0001-53;;;
CLAS;CLASSICOBM;;31.597.552/0001-52;;;
CLBH;;;;;;
CLCA;;;;;;
CLCD;CELESC DISTR;;08.336.783/0001-90;;;
CLEX;CELEO REDES;;32.063.222/0001-40;;;
CLGE;CALDEIRÃO GR;;12.960.213/0001-44;;;
CLGP;;;16.990.436/0001-05;;;
CLGR;CELESC GERAC;;08.336.804/0001-78;;;
CLII;CORREDOR LOG;;15.114.494/0001-02;;;
CLIS;;;;;;
CLMO;CALAMO;;06.147.451/0011-04;;;
CLMS;LINHA15METRO;;33.458.409/0001-05;;;
CLND;COLUMBIA;;13.332.013/0001-00;;;
CLNG;CALANGO6;;19.560.837/0001-13;;;
CLNS;COLINAS ENER;;31.326.856/0001-85;;;
CLOR;CELEO;;31.001.230/0001-07;Holding;Não Classificados / Não Classificados / Não Classificado;EMPRESA
CLRE;;;;;;
CLRJ;;;;;;
CLRN;CLARINDOPART;;27.411.676/0001-24;;;
CLSA;CLEARSALE;CLSA3;30/07/2021;03.802.115/0001-98;Desenvolvimento e licenciamento de programas de computador customizáveis;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
CLSC;CELESC;CLSC4;12/12/1988;83.878.892/0001-55;Holding do Setor de Energia;BRADESCO
CLTM;;;42.288.184/0001-87;;;
CMCB;CAPIMBRANCO;;04.432.851/0001-64;;;
CMED;;;;;;
CMFI;CAMPOII;;17.613.629/0001-00;;;
CMGD;;;06.981.180/0001-16;O objetivo da Companhia é estudar. planejar. projetar. construir. operar e explorar sistemas de distribuição e comercialização de energia elétrica e serviços correlatos.;Utilidade Pública / Energia Elétrica / Energia Elétrica;CEMIG DISTRIBUICAO S.A.
CMGT;CEMIG GT;;06.981.176/0001-58;Realiza atividades de geração. transmissão e comercialização de energia elétrica e serviços correlatos que lhe tenham sido ou venham a ser concedidos.;Utilidade Pública / Energia Elétrica / Energia Elétrica;CEMIG GERACAO E TRANSMISSAO S.A.
CMIG;CEMIG;CMIG4;14/01/1972;17.155.730/0001-64;Concessionária de serviço público de energia elétrica.;ITAU CORRETORA ACOES
CMIN;CSNMINERACAO;CMIN3;18/02/2021;08.902.291/0001-15;"Mineração e comercialização de minério de ferro. infraestrutura de transporte portuária; geração de energia e participação em sociedades com objeto social compatível com o da Companhia.";BRADESCO
CMLA;;;;;;
CMNP;CIAPARANA;;61.082.962/0001-21;;;
CMPD;;;;;;
CMRV;CIDADE MARAV;;09.611.669/0001-94;;;
CMSA;CIMS;CMSA4;24/07/1995;00.272.185/0001-93;Participação no Capital de Outras Empresas;BRADESCO
CMSF;;;;;;
CMSP;MOVESP;;19.368.924/0001-73;;;
CNBE;CANABRAVA;;11.235.729/0001-63;;;
CNCC;;;07.957.149/0001-02;;;
CNDS;ENERGCANDEIA;;10.508.162/0001-99;;;
CNEN;CAMPOSNOVOS;;03.356.967/0001-07;;;
CNHC;CNHCAPITALBM;;02.992.446/0001-75;;;
CNLM;LINHA4;;07.682.638/0001-07;;;
CNOR;CALOINORTE;;04.301.024/0001-31;;;
CNQB;;;;;;
CNRD;ROD MS-306;;36.128.741/0001-08;;;
CNSA;CONASA;;20.220.446/0001-39;;;
CNSC;;;;;;
