codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
ALLD;;ALLD3;12/04/2021;20.247.322/0001-47;Desenvolvimento e licenciamento de plataformas digitais para comercialização de serviços de tecnologia. além de soluções logísticas e de distribuição de produtos.;ITAU CORRETORA ACOES
ALMC;;;;;;
ALMJ;;;82.120.676/0001-83;;;
ALMZ;;;04.955.456/0001-66;;;
ALOS;;ALOS3;03/02/2011;05.878.397/0001-32;Planejamento. desenvolvimento. implantação e investimentos na área imobiliária. nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário.;ITAU CORRETORA ACOES
ALPA;ALPARGATAS;ALPA4;20/07/1977;61.079.117/0001-05;Indústria e comércio de calçados e artigos esportivos;ITAU CORRETORA ACOES
ALPK;;ALPK3;15/05/2020;60.537.263/0001-66;"Outras atividades de publicidade não especificadas anteriormente; gestão de ativos intangíveis não-financeiros; outras atividades de serviços pessoais não especificadas anteriormente.";BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
ALSR;ALSOL;;15.483.161/0001-50;;;
ALTF;;;48.344.725/0007-19;A Companhia dedica-se à industrialização. comercialização e distribuição de produtos farmacêuticos em geral.;Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos;ITAU CORRETORA DEBENTURES
ALTR;;;02.783.423/0001-50;aquisição e securitização de recebíveis imobiliários e agrícola. a emissão e colocação no mercado financeiro. de Certificados e Recebíveis Imobiliários. Certificados de Recebíveis Agrícolas e Créditos;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;ALTERE SECURITIZADORA S.A.
ALUB;ALUBAM;;14.327.122/0001-00;;;
ALUP;;ALUP11;24/04/2013;08.364.948/0001-38;"a participação em outras sociedades atuantes nos setores de energia e infra-estrutura. no Brasil ou no exterior; a geração. transformação. transporte. a distribuiçãoe o comércio de energia.";ITAU CORRETORA ACOES
ALUS;;;58.580.465/0001-49;;;
AMAR;;AMAR3;28/06/2010;61.189.288/0001-89;Comércio varejista de artigos do vestuário e acessórios. prestação de serviços de correspondente bancário. intermediação de negócios e congêneres. atuação como representante de seguros.;ITAU CORRETORA ACOES
AMBA;;;01.645.009/0003-84;;;
AMBP;;AMBP3;13/07/2020;12.648.266/0001-24;Gerenciamento e valorização de resíduos. bem como. prestação de serviços de atendimento a emergência.;BRADESCO
AMER;AMERICANAS;AMER3;08/08/2007;00.776.574/0001-56;Comércio varejista e atacadista em geral de quaisquer bens e serviços por meio de diversos meios. em especial. da Internet e de lojas físicas. sem restrição a outros meios.;ITAU CORRETORA ACOES
AMMS;;;40.074.069/0001-84;;;
AMPS;;;19.165.656/0001-92;;;
AMSC;;;;;;
AMTE;ARMAZEMMATEU;;23.439.441/0013-23;;;
AMTG;AM GER TRANS;;17.957.780/0001-65;;;
AMTL;;;;;;
AMTR;;;;;;
ANDA;ANDALIAS;;02.227.264/0001-08;;;
ANDH;ANDORINHA;;17.613.512/0001-26;;;
ANEM;ANEMUS WIND;;38.482.780/0001-26;;;
ANET;;;01.778.972/0001-74;;;
ANGV;;ANGV39;;;;
ANHB;AUTOBAN;;02.451.848/0001-62;Concessão Rodoviária;Bens Industriais / Transporte / Exploração de Rodovias;ITAUBANCO - ACOES
ANIM;;ANIM3;28/10/2013;09.288.252/0001-32;Administração. direta ou indireta. de atividade de instituições de 3º e 4º graus. educação profissional.;BRADESCO
AONT;;;;;;
AOVS;;;;;;
APCS;TRUESEC;;12.130.744/0001-00;(i) aquisição e securitização de créditos imobiliários e direitos creditórios do agronegócio (ii) emissão e colocação no mercado financeiro de Certificados de Recebíveis Imobiliários e do Agronegóci;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;ITAU CORRETORA ACOES
APFD;AUTOFERDIAS;;09.326.342/0001-70;Concessionária de Rodovias. pontes. túneis e serviçios relacionados;Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
APMC;;;;;;
APNH;;;23.486.042/0001-80;;;
APOL;;;37.606.330/0001-35;;;
APPS;AUTOPLANSUL;;09.325.109/0001-73;Concessionária de Rodovia;Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
APRB;AUTOREGIS;;09.336.431/0001-06;Concessionária de rodovias;Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
APRO;;;;;;
APTI;;APTI4;14/07/1986;61.156.931/0001-78;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;BRADESCO
ARAJ;;;;;;
ARAM;AGROP ARAME;;08.982.878/0001-81;;;
ARCV;;;28.008.887/0001-83;;;
AREG;AREIAENERGIA;;07.321.320/0001-92;;;
ARGV;ARGOVTRANS;;20.514.590/0001-88;;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA DEBENTURES
ARKL;;;;;;
ARMB;;;71.586.952/0001-87;;;
ARML;ARMAC;ARML3;28/07/2021;00.242.184/0001-04;Locação de máquinas e equipamentos pesados;ITAU CORRETORA ACOES
ARON;ARES ONE PAR;;38.350.319/0001-10;;;
ARPR;;;27.317.154/0001-68;;;
ARQU;;;44.699.346/0001-03;;;
ARSN;ARAUCARIA;;12.049.167/0001-26;;;
ARSP;;;29.291.541/0001-06;;;
ARTP;ARTEON Z S/A;;32.711.933/0001-83;;;
ARTR;;;02.919.555/0001-67;Gerenciamento de concessões públicas;Bens Industriais / Transporte / Exploração de Rodovias;ITAU CORRETORA ACOES
ARUG;AMBARURUGUAI;;01.600.202/0001-37;;;
ASAB;;;09.359.927/0001-97;;;
ASAI;;ASAI3;01/03/2021;06.057.223/0001-71;Atacadista de autosserviços;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
ASCP;ECOPISTAS;;10.841.050/0001-55;Concessão e exploração de rodovias.;Bens Industriais / Transporte / Exploração de Rodovias;ITAU CORRETORA ACOES
ASCS;;;12.561.807/0001-82;;;
ASCV;;;;;;
ASCY;;;13.743.550/0001-42;;;
ASEO;;;;;;
ASER;AGUASSERTAO;;45.456.117/0001-12;O principal ramo de atividade da Companhia é a prestação regionalizada de atividades integradas que compreendem a totalidade dos serviços a serem prestados pela Companhia nos termos do Contrato de Con;Utilidade Pública / Água e Saneamento / Água e Saneamento;BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM
ASHS;;;;;;
ASIC;ASA;;01.551.272/0001-42;;;
ASII;;;;;;
ASOL;;;;;;
ASPF;;;62.462.015/0001-29;;;
ASSR;;;;;;
ASTP;;;;;;
ASVI;;;;;;
ATAM;ATTEND;;13.039.389/0001-20;;;
ATBC;ABCONCESSOES;;15.019.317/0001-47;;;
ATBR;;;;;;
ATDC;;;10.587.932/0001-36;;;
ATEB;;;02.879.250/0001-79;;;
ATEM;;;03.987.364/0001-03;;;
ATES;;;;;;
ATEV;ATE VIII TRA;;10.515.756/0001-27;;;
ATGP;;;28.760.485/0001-30;;;
ATGS;;;;;;
ATHT;;;;;;
ATII;;;;;;
ATKJ;;;73.849.952/0001-58;;;
ATLE;;;11.489.312/0001-27;;;
ATMB;;;43.513.237/0001-89;A Companhia tem como objeto social a exploração das seguintes atividades: participação em outras sociedades empresariais. como sócia ou acionista. no Brasil ou no exterior.;Financeiro / Holdings Diversificadas / Holdings Diversificadas;BRADESCO - DEBENT.
ATMF;;;;;;
ATMM;ATERPA;;17.162.983/0001-65;;;
ATMP;;ATMP3;20/05/2005;04.032.433/0001-80;A ATMA Participações S.A. tem como objeto social a participação. direta e indireta. em outras sociedades comerciais e civis. como sócia. acionista ou quotista. no país ou no exterior.;ITAU CORRETORA ACOES
ATOM;ATOMPAR;ATOM3;28/02/2000;00.359.742/0001-08;Holding de instituições não financeiras.;BRADESCO
ATRD;AUTOSTRADE;;02.530.164/0001-56;;;
ATRM;ATRIUMEMP;;02.766.836/0001-27;;;
ATVO;ATIVOS;;05.437.257/0001-29;;;
ATVS;;;08.842.690/0001-38;;;
AUCK;;;19.492.543/0001-00;;;
AULE;;;07.321.289/0001-90;;;
AURA;AURA 360;AURA33;;07.857.093/0001-14;Aproveitamento de jazidas minerais. principalmente por meio de exploração e extração de minérios. com foco em ouro e cobre.;
AURE;;AURE3;28/03/2022;28.594.234/0001-23;Participação em empresas de geração. transmissão e comercialização de energia elétrica e a prestação de serviços correlatos.;ITAU CORRETORA ACOES
AURT;;;06.988.441/0001-20;;;
AUSA;ALPHAVILLE U;;00.446.918/0001-69;;;
AUSP;;;20.930.953/0001-66;;;
AUUT;AUTOPASS S/A;;07.140.538/0001-40;;;
AVGE;;;;;;
AVLL;;AVLL3;11/12/2020;16.811.931/0001-00;Holding controladora de empresas que atuam no setor de urbanismo e desenvolvimento de empreendimentos imobiliários.;BRADESCO
AVNH;;;;;;
AVTE;;;;;;
AVTS;;;04.533.779/0001-61;;;
AXEP;;;;;;
AXS3;;;;;;
AXS4;;;;;;
AXS8;;;;;;
AXS9;;;;;;
AXSC;;;;;;
AXSD;;;;;;
AXSE;;;;;;
AXSO;;;;;;
AXSU;;;;;;
AXVS;;;;;;
AYOS;;;;;;
AZEV;AZEVEDO;AZEV4;11/09/1984;61.351.532/0001-68;Execução de obras de construção pesada junto à órgãos púbicos e iniciativa privada.;ITAU CORRETORA ACOES
AZLA;AZULAEREAS;;09.296.295/0001-60;;;
AZUL;;AZUL4;11/04/2017;09.305.994/0001-29;Transporte e Logística;ITAU CORRETORA ACOES
AZZA;AZZAS 2154;AZZA3;02/02/2011;16.590.234/0001-76;O principal ramo de atividade é a industrialização. o comércio atacadista de couros. lãs. peles e subprodutos de origem animal e a confecção. fabricação e comercialização de artigos de vestuário.;ITAU CORRETORA ACOES
B3SA;B3;B3SA3;20/08/2008;09.346.601/0001-25;"Principais atividades: administrar mercados organizados de títulos e valores mobiliários; prestar serviços de registro. compensação e liquidação e de suporte à operações de financiamento";BRADESCO
BAAX;;BAAX39;;;;
BACW;MSCI ACWI;BACW39;;;;
BAEP;;;;;;
BAER;US AEROSPACE;BAER39;;;;
BAGG;;BAGG39;;;;
BAGY;;BAGY39;;;;
BAHI;BAHEMA;BAHI3;02/01/1974;45.987.245/0001-92;Prestação de serviços educacionais. diretamente ou por meio de participação em outras sociedades. nas áreas de educação pré-escolar. infantil e básica (ensino fundamental ao ensino médio).;ITAUBANCO - ACOES
BAHO;;;;;;
BAHR;;;;;;
BAIQ;GX AI TECH;BAIQ39;;;;
BAIR;;;;;Não Classificados / Não Classificado / Não Classificados;
BAJR;;;92.874.270/0001-40;;;
BALM;BAUMER;BALM4;20/05/1970;61.374.161/0001-30;Fabricação aparelhos e instrumentos p/ uso medico hospitalar e ortopedia;ITAU CORRETORA ACOES
BAME;;;;;;
BAOA;BKR AGR ALOC;BAOA39;;;;
BAOK;BKR CSV ALOC;BAOK39;;;;
BAOM;;BAOM39;;;;
BAOR;BKR GRO ALOC;BAOR39;;;;
BARU;;;;;;
BARY;BKR FUT AIT;BARY39;;;;
BAUE;BAUERRJ;;08.183.208/0001-03;;;
BAUH;EXCELSIOR;BAUH4;26/08/1988;95.426.862/0001-97;Atua na produção e comercialização de patês em bisnagas. sendo seus principais produtos: presuntos. fiambres. mortadelas. linguiças. salsichas e patês.;ITAU CORRETORA ACOES
BAZA;;BAZA3;20/07/1977;04.902.979/0001-44;;BRADESCO
BBAJ;;BBAJ39;;;;
BBAS;BRASIL;BBAS11;20/07/1977;00.000.000/0001-91;Banco Múltiplo;BRASIL
BBCN;;BBCN39;;;;
BBDC;BRADESCO;BBDC4;26/11/1946;60.746.948/0001-12;Prática de operações bancárias em geral. inclusive câmbio;BRADESCO
BBER;JP BTB EUROP;BBER39;;;;
BBFU;;;;;;
BBGN;;;00.558.456/0001-71;;;
BBGR;BKR US GREEN;BBGR39;;;;
BBHE;;;;;;
BBHI;;;15.114.366/0001-69;;;
BBIL;;BBIL39;;;;
BBIO;BELEMBIO;;13.188.854/0001-95;;;
BBJP;JP BTB JAPAO;BBJP39;;;;
BBLN;;;26.680.187/0001-05;;;
BBMD;DBSA;;19.733.876/0001-75;;;
BBMF;BCOB3BC;;00.997.185/0001-50;;;
BBML;BBMLOGISTICA;BBML3;11/03/2019;01.107.327/0001-20;Prestação de serviços logísticos através de operações dedicadas e transporte de carga geral fracionada.;ITAU CORRETORA ACOES
BBMR;;BBMR39;;;;
BBNK;BRASBUNKER;;04.931.019/0001-02;;;
BBOP;;;02.400.344/0001-13;;;
BBRA;;;76.543.115/0001-94;;;
BBRM;BORBTRANSENE;;31.109.417/0001-10;;;
BBSE;;BBSE3;29/04/2013;17.344.597/0001-94;Participação no capital social de outras sociedades que realizem quaisquer atividades reguladas pela SUSEP e ANS. além de corretagem desses produtos.;BRASIL
BBUG;;BBUG39;;;;
BBUS;JP BTB USEQ;BBUS39;;;;
BBVL;MERCEDESBENZ;;00.162.760/0001-03;;;
BCAN;;;33.923.111/0001-29;;;
BCAP;CAPITALBM;;15.173.776/0001-80;;;
BCAT;;BCAT39;;;;
