Código,Ação,Tipo,Qtde. Teórica,Part. (%)
PEPB34,PEPSICO INC,DRN,13.790.000,"0,045"
PFIZ34,PFIZER,DRN,226.667.800,"0,460"
PGCO34,PG,DRN ED,329.567.140,"1,118"
P1LD34,PROLOGIS INC,DRN,111.101.280,"0,306"
QCOM34,QUALCOMM,DRN,133.680.000,"0,528"
R1IN34,REALTY INCOM,DRN,17.417.352,"0,156"
RIOT34,RIO TINTO,DRN,12.526.830,"0,228"
R2BL34,ROBLOX CORP,DRN,59.850.000,"0,067"
SSFO34,SALESFOR INC,DRN,213.180.000,"0,800"
BCSA34,SANTANDER,DRN,154.942.700,"0,217"
SCHW34,SCHWAB,DRN,142.275.600,"0,352"
S2EA34,SEA LTD,DRN,131.703.050,"0,146"
N1OW34,SERVICENOW,DRN,103.000.000,"0,528"
S2HO34,SHOPIFY INC,DRN,1.452.604.800,"0,281"
S1BS34,SIBANYE STIL,DRN,14.152.836,"0,009"
S2GM34,SIGMA LITHM,DRN,3.323.445,"0,004"
SIMN34,SIMON PROP,DRN,13.041.416,"0,159"
S1LG34,SL GREEN REA,DRN,1.296.280,"0,014"
S2NW34,SNOWFLAKE,DRN,133.920.000,"0,112"
SNEC34,SONY GROUP,DRN,62.431.000,"0,317"
S1PO34,SPOTIFY TECH,DRN,8.032.328,"0,213"
S2TA34,STAG INDUSTR,DRN,9.105.520,"0,019"
SBUB34,STARBUCKS,DRN,11.360.000,"0,306"
S2UI34,SUN COMMUN,DRN,24.933.980,"0,047"
TSMC34,TAIWANSMFAC,DRN,414.938.080,"2,924"
T1TW34,TAKE-TWO INT,DRN,7.011.312,"0,077"
T1AL34,TAL EDUCATIO,DRN,49.102.240,"0,015"
T2DH34,TELADOCHEALT,DRN,51.365.400,"0,005"
TLNC34,TELEFONIC,DRN,56.701.620,"0,075"
TSLA34,TESLA INC,DRN,1.022.284.800,"1,953"
TEXA34,TEXAS INC,DRN,9.190.000,"0,034"
TMOS34,THERMFISCHER,DRN,183.357.888,"0,637"
TMCO34,TOYOTAMO,DRN,252.719.840,"0,750"
T2TD34,TRADE DESK,DRN,447.659.000,"0,148"
RIGG34,TRANSOCEAN,DRN,8.754.702,"0,010"
U1BE34,UBER TECH IN,DRN,84.037.480,"0,488"
ULEV34,UNILEVER,DRN,24.927.340,"0,435"
U1RI34,UNITED RENTA,DRN,18.518.043,"0,154"
UNHH34,UNITEDHEALTH,DRN,646.392.740,"1,478"
U2ST34,UNITY SOFTWR,DRN,79.371.560,"0,024"
U2PS34,UPSTART HOLD,DRN,17.902.718,"0,014"
VERZ34,VERIZON,DRN,252.571.200,"0,515"
VISA34,VISA INC,DRN,22.290.000,"0,089"
V1OD34,VODAFONE GRO,DRN,52.847.880,"0,071"
WALM34,WAL MART,DRN,1.286.966.880,"1,831"
WGBA34,WALGREENS,DRN,17.265.500,"0,025"
DISB34,WALT DISNEY,DRN,18.290.000,"0,033"
W1BD34,WARNER DISCO,DRN,24.519.080,"0,052"
WFCO34,WELLS FARGO,DRN,136.150.800,"0,611"
Z1TS34,ZOETIS INC,DRN,72.488.160,"0,240"
Z1OM34,ZOOM VIDEO,DRN,65.904.150,"0,054"
