Código,Ação,Tipo,Qtde. Teórica,Part. (%)
BBSE3,BBSEGURIDADE,ON      NM,230.360.060,"19,995"
BBAS3,BRASIL,ON      NM,300.893.492,"20,478"
CXSE3,CAIXA SEGURI,ON      NM,517.500.000,"18,907"
CMIG4,CEMIG,PN      N1,727.525.795,"20,684"
PETR3,PETROBRAS,ON      N2,74.094.556,"7,507"
PETR4,PETROBRAS,PN      N2,134.099.689,"12,429"
